=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.04.22 11:31:05 =~=~=~=~=~=~=~=~=~=~=~=
2790,8455,38397,815,,
0,388,883,384,36,405,
0,385,868,380,36,455,
0,408,854,377,36,448,
0,405,840,374,35,444,
0,401,827,370,35,439,
0,397,815,367,35,434,
0,392,802,364,35,430,
080,36,455,
0,408,854,377,36,448,
0,405,840,374,35,444,
0,401,827,370,35,439,
0,397,815,367,35,434,
0,392,802,364,35,430,
0,390,893,384,40,425,
0,385,907,380,39,421,
0,382,911,376,39,416,
0,380,910,372,39,412,
0bbbbbj
0,401,871,365,39,438,
0,396,857,361,StartUp!
126,502,824,393,14,587,
0,563,815,390,14,580,
0,560,805,387,14,576,
0,555,799,384,14,571,
0,550,790,382,14,567,
0,544,781,380,13,561,
0,540,772,377,14,556,
0,536,764,375,14,553,
0,532,816,396,13,548,
0,527,875,399,13,543,
0,521,860,395,13,537,
0,515,846,391,13,531,
0,510,831,388,13,526,
0,505,819,385,13,580,
0,556,806,380,13,573,
0,549,793,377,12,566,
0,542,782,374,12,560,
0,536,771,370,12,553,
0,529,760,367,12,547,
0,524,868,395,12,540,
0,518,857,391,12,535,
0,512,843,387,12,528,
0,507,829,383,12,523,
0,500,816,380,11,527,
0,550,803,376,12,520,
0,543,792,371,11,515,
0,536,780,369,11,509,
0,531,768,366,11,504,
0,525,756,363,11,499,
0,519,870,380,11,494,
0,513,854,376,10,489,
0,508,839,371,10,484,
0,502,831,370,11,483,
0,499,818,367,10,532,
0,566,808,364,10,524,
0,558,796,359,13,519,
0,551,783,357,14,512,
0,544,772,354,14,507,
0,538,761,351,14,503,
0,532,869,432,13,497,
0,526,903,425,13,492,
0,521,896,422,13,487,
0,515,876,417,13,481,
0,510,862,413,12,477,
0,540,847,409,13,479,
0,563,835,405,19,473,
0,556,822,401,19,469,
0,549,808,398,19,464,
0,542,799,393,19,460,
0,536,788,402,19,455,
0,530,875,435,18,451,
0,524,859,430,18,447,
0,518,845,425,18,444,
1,512,831,422,17,440,
1,527,819,417,17,508,
1,569,806,415,25,502,
2,563,793,411,30,496,
2,556,782,407,29,491,
2,549,771,403,29,486,
3,542,760,399,29,480,
3,536,878,451,28,475,
3,530,863,446,28,470,
3,524,852,441,28,465,
3,519,838,436,28,460,
3,512,824,432,28,531,
3,577,812,428,28,524,
4,569,799,423,28,519,
3,562,787,419,28,515,
4,556,775,415,28,508,
4,548,764,412,28,504,
3,544,887,439,27,497,
4,537,871,433,27,492,
4,531,856,429,27,487,
4,526,842,425,27,481,
4,519,828,420,26,548,
4,580,816,416,26,543,
4,572,806,412,27,537,
4,566,793,408,27,531,
4,559,782,404,27,525,
4,551,771,400,26,519,
4,546,857,446,26,515,
4,540,878,441,25,510,
4,534,863,436,25,504,
4,527,849,432,25,499,
4,523,835,428,25,493,
4,559,822,423,25,561,
4,583,809,419,31,554,
3,575,796,415,31,547,
3,568,785,412,31,541,
4,561,773,408,30,535,
4,555,860,423,30,529,
4,548,899,450,29,524,
3,542,886,446,29,518,
3,536,870,441,28,512,
3,529,856,436,28,507,
4,552,843,432,28,588,
3,590,828,428,28,581,
3,582,816,424,28,574,
3,576,803,420,28,568,
3,569,792,416,28,560,
3,563,780,413,28,555,
3,556,898,437,27,547,
3,550,883,432,27,542,
3,543,868,428,27,536,
3,537,854,423,27,530,
3,531,843,419,27,588,
3,603,830,415,27,579,
3,594,816,411,27,572,
3,587,804,408,27,566,
3,579,792,403,26,560,
3,572,780,399,26,555,
3,566,892,449,26,548,
3,561,878,446,25,542,
3,555,863,441,25,536,
3,548,849,436,25,530,
3,542,835,432,25,583,
3,593,822,428,26,575,
3,584,809,423,26,568,
3,577,797,419,26,561,
3,571,788,415,25,555,
3,563,776,412,25,548,
3,558,877,449,25,542,
3,551,903,444,25,536,
3,543,889,440,25,532,
3,537,872,435,25,526,
3,532,859,430,24,521,
3,579,844,427,24,575,
3,583,831,423,24,568,
3,575,818,419,24,561,
2,569,806,415,24,555,
3,562,793,411,24,548,
2,556,878,434,24,542,
3,549,903,449,24,536,
2,543,896,444,24,530,
2,536,877,440,23,524,
2,531,863,435,23,519,
2,569,849,431,23,589,
2,587,835,427,24,583,
2,579,822,423,24,575,
2,572,809,419,23,569,
2,565,797,415,23,563,
2,560,790,412,23,556,
2,553,898,450,22,550,
1,547,883,445,22,543,
2,540,867,440,22,537,
2,535,853,436,22,531,
1,528,839,432,22,555,
1,584,829,428,22,547,
2,577,816,423,23,541,
1,571,803,419,22,535,
1,563,792,415,22,528,
1,556,780,411,22,524,
1,550,876,448,21,519,
1,543,860,443,21,513,
1,537,846,439,21,508,
1,533,831,434,20,503,
1,527,819,430,20,558,
1,581,806,425,21,551,
1,574,793,421,21,543,
1,567,782,417,21,537,
1,560,771,413,20,531,
1,552,760,409,20,526,
1,547,876,448,20,519,
1,540,903,444,20,513,
1,534,889,439,19,508,
1,527,872,434,19,504,
1,522,858,430,19,519,
1,584,844,425,19,560,
1,577,831,422,23,553,
1,571,818,418,23,546,
1,564,806,414,23,540,
1,557,793,410,23,534,
0,551,878,437,23,527,
1,544,889,436,22,522,
1,538,872,432,22,516,
1,531,857,428,22,511,
0,526,847,423,21,505,
1,577,834,419,22,510,
0,583,820,415,21,504,
0,575,807,411,20,499,
0,568,796,408,20,495,
0,562,783,403,20,490,
0,556,790,423,20,486,
0,551,886,434,20,480,
0,543,870,430,20,476,
0,537,855,425,19,472,
0,531,840,421,19,467,
0,526,828,417,19,474,
0,584,814,412,19,468,
0,577,802,408,19,463,
0,570,792,404,19,459,
0,563,781,401,19,455,
0,556,769,398,19,451,
0,550,880,434,19,446,
0,543,864,430,19,443,
0,537,850,425,19,439,
0,531,836,421,19,435,
0,526,824,418,18,505,
0,591,810,414,18,499,
0,583,798,409,18,494,
0,575,786,406,19,487,
0,568,775,401,19,482,
0,561,763,398,19,478,
0,556,875,448,19,472,
0,548,863,443,19,467,
0,542,847,438,18,463,
0,536,834,433,18,457,
0,530,821,429,18,515,
0,579,808,423,17,510,
0,572,796,420,19,504,
0,564,783,416,18,498,
0,558,772,413,18,492,
0,552,761,409,18,487,
0,547,872,433,18,482,
0,540,878,431,18,477,
0,534,863,426,17,472,
0,527,849,422,17,467,
0,521,835,417,17,468,
0,572,822,414,17,481,
0,564,812,409,17,476,
0,557,799,406,18,471,
0,551,788,401,18,465,
0,543,776,398,17,462,
0,537,793,400,17,457,
0,531,870,408,17,452,
0,525,856,404,17,448,
0,520,841,400,17,444,
0,515,828,397,16,440,
0,510,815,393,16,481,
0,563,802,390,16,476,
0,556,790,386,16,470,
0,550,779,383,16,465,
0,543,768,380,16,460,
0,537,759,376,16,455,
0,531,882,430,15,451,
0,525,866,424,15,446,
0,519,851,420,15,441,
0,513,838,415,15,438,
0,508,825,412,15,500,
0,563,812,408,15,494,
0,559,799,405,15,488,
0,551,787,401,15,483,
0,545,775,397,15,478,
0,539,764,393,15,472,
0,533,888,443,15,467,
0,527,871,438,14,463,
0,520,857,433,14,457,
0,515,847,428,14,453,
0,509,833,423,14,518,
0,571,820,419,14,511,
0,563,807,415,17,504,
0,556,795,412,17,500,
0,550,783,408,17,495,
0,543,771,403,17,489,
0,538,881,440,16,484,
0,532,882,434,16,479,
0,526,867,430,16,473,
0,519,852,425,15,469,
0,515,839,421,15,492,
0,577,825,417,15,525,
0,569,812,412,15,519,
0,562,803,408,15,513,
0,556,792,404,15,508,
0,548,780,401,15,502,
0,543,824,440,15,496,
0,536,894,435,15,492,
0,530,876,432,15,487,
0,524,861,427,15,482,
0,519,847,423,15,477,
0,514,833,419,14,536,
0,568,820,415,14,530,
0,560,807,412,14,524,
0,553,796,408,14,518,
0,547,783,403,14,512,
0,540,816,399,14,507,
0,534,897,437,14,500,
0,527,886,432,13,496,
0,521,870,428,13,490,
0,516,856,423,13,486,
0,511,842,419,12,545,
0,563,828,415,14,538,
0,556,815,411,13,531,
0,550,803,408,13,526,
0,544,791,404,13,519,
0,538,780,400,13,514,
0,532,896,436,13,508,
0,526,886,432,12,503,
0,519,870,427,12,497,
0,514,856,423,12,492,
0,508,841,419,12,502,
0,563,831,414,12,496,
0,555,819,410,14,490,
0,548,806,407,13,484,
0,542,793,403,14,480,
0,536,782,399,13,476,
0,529,886,436,13,472,
0,523,874,432,13,467,
0,519,860,428,12,462,
0,513,846,423,12,457,
0,508,831,419,12,493,
0,552,819,415,12,515,
0,545,806,411,12,508,
0,538,793,408,12,503,
0,531,782,403,12,497,
0,526,774,399,12,492,
0,519,851,448,12,487,
0,513,897,443,12,481,
0,508,880,438,11,476,
0,503,865,433,11,472,
0,497,851,429,11,467,
0,559,838,425,11,526,
0,552,824,422,11,519,
0,545,812,417,11,515,
0,539,799,414,11,508,
0,532,787,409,11,503,
0,527,831,406,11,497,
0,520,897,432,11,492,
0,515,880,427,11,487,
0,509,868,423,11,481,
0,504,854,418,11,476,
0,499,841,414,10,515,
0,562,827,409,11,510,
0,555,814,406,11,504,
0,548,802,402,12,499,
0,542,790,398,12,494,
0,537,778,396,12,489,
0,531,898,440,12,483,
0,525,888,435,12,478,
0,519,871,431,12,473,
0,513,857,427,11,468,
0,508,844,423,11,521,
0,568,830,417,11,515,
0,560,820,414,11,510,
0,553,807,409,11,504,
0,547,795,406,11,498,
0,540,783,402,11,493,
0,535,894,444,11,488,
0,527,895,439,11,483,
0,522,876,434,11,478,
0,516,862,431,11,473,
0,512,847,427,10,519,
0,563,834,423,10,518,
0,555,821,418,10,511,
0,548,808,414,10,505,
0,542,796,410,10,499,
0,536,784,406,9,494,
0,529,856,441,9,491,
0,523,896,435,9,485,
0,519,878,432,9,480,
0,512,863,428,9,475,
0,508,852,423,9,472,
0,529,839,419,9,527,
0,560,825,415,9,519,
0,553,812,412,9,514,
0,546,803,408,9,508,
0,540,791,404,9,504,
0,536,780,401,9,499,
0,529,896,444,9,494,
0,523,894,439,9,487,
0,517,877,434,8,484,
0,513,862,431,9,479,
0,508,847,427,9,480,
0,561,838,422,8,502,
0,553,824,418,9,497,
0,547,812,415,9,492,
0,542,799,411,9,487,
0,536,787,407,9,481,
0,529,779,403,9,478,
0,524,895,430,8,472,
0,519,880,427,8,467,
0,513,864,422,8,463,
0,508,854,417,8,459,
0,502,840,414,8,513,
0,560,827,411,7,505,
0,552,814,407,10,500,
0,546,801,403,10,495,
0,540,792,399,9,489,
0,532,780,395,9,484,
0,527,879,431,9,480,
0,522,902,436,9,474,
0,516,891,432,9,470,
0,510,873,428,9,465,
0,504,859,423,9,461,
0,501,846,420,9,516,
0,551,831,415,9,510,
0,543,822,412,9,505,
0,537,809,408,12,499,
0,532,797,405,11,494,
0,526,785,401,11,489,
0,519,897,429,11,483,
0,514,885,423,11,479,
0,508,870,420,11,473,
0,503,855,415,10,468,
0,497,841,412,10,529,
0,568,831,408,10,521,
0,560,818,403,10,515,
0,553,806,399,10,510,
0,547,793,396,9,505,
0,540,782,393,9,500,
0,536,888,444,9,495,
0,529,888,439,9,489,
0,524,875,435,9,486,
0,518,860,430,9,480,
0,513,846,427,9,476,
0,524,832,423,9,508,
0,562,823,418,9,504,
0,555,809,414,9,497,
0,550,798,411,8,492,
0,543,786,407,9,487,
0,537,777,403,8,483,
0,531,895,477,8,478,
0,526,885,473,7,472,
0,520,869,467,7,467,
0,515,859,463,7,463,
0,508,844,457,7,481,
0,574,831,455,7,516,
0,566,818,449,7,510,
0,559,808,445,7,504,
0,551,796,440,7,500,
0,547,784,438,7,495,
0,540,822,433,7,489,
0,534,896,460,7,484,
0,527,880,455,7,480,
0,524,865,452,7,475,
0,518,851,448,7,471,
0,512,841,444,7,534,
0,571,828,439,7,529,
0,563,815,435,7,523,
0,558,802,431,7,516,
0,551,790,427,7,511,
0,544,781,423,7,507,
0,539,867,440,7,501,
0,534,880,435,7,496,
0,527,865,431,7,491,
0,521,854,427,7,487,
0,515,839,422,7,481,
0,512,827,419,7,533,
0,551,814,415,7,527,
0,543,804,412,7,522,
0,537,792,408,7,516,
0,532,781,404,7,510,
0,527,769,401,7,504,
0,520,888,415,6,499,
0,515,903,412,7,495,
0,510,891,408,6,489,
0,504,874,404,6,484,
0,499,863,400,6,521,
0,555,849,397,6,526,
0,550,835,394,7,519,
0,543,823,391,7,514,
0,536,813,387,7,508,
0,529,800,384,7,504,
0,524,792,382,7,499,
0,519,900,428,7,492,
0,513,895,423,7,487,
0,508,876,418,7,483,
0,502,862,415,7,479,
0,498,847,411,7,526,
0,551,834,407,7,519,
0,543,824,403,7,515,
0,537,812,399,7,508,
0,532,799,396,7,503,
0,526,787,392,7,497,
0,520,839,430,7,493,
0,515,894,427,7,487,
0,510,876,423,7,483,
0,504,862,419,7,478,
0,499,851,414,7,473,
0,504,838,410,7,539,
0,548,824,408,7,531,
0,542,811,403,7,526,
0,535,802,399,7,519,
0,529,790,396,7,515,
0,524,779,392,7,510,
0,519,896,430,7,504,
0,512,902,425,7,499,
0,507,885,420,6,494,
0,503,869,417,6,489,
0,497,856,413,6,487,
0,560,845,409,6,523,
0,551,831,405,6,518,
0,545,818,402,6,512,
0,540,806,398,6,506,
0,534,793,395,6,500,
0,527,785,391,6,497,
0,521,899,427,6,491,
0,517,899,423,6,486,
0,511,879,418,6,480,
0,505,868,414,6,477,
0,500,854,411,6,530,
0,552,840,407,5,523,
0,545,827,403,7,516,
0,539,817,399,7,512,
0,532,804,395,7,507,
0,527,792,391,7,500,
0,521,870,415,7,496,
0,515,899,433,7,492,
0,510,886,429,7,486,
0,505,870,425,7,481,
0,499,856,422,7,476,
0,495,846,417,7,526,
0,555,831,414,7,521,
0,550,819,410,7,515,
0,543,807,407,7,510,
0,536,797,403,7,504,
0,530,785,399,7,499,
0,526,888,438,7,494,
0,519,888,432,7,489,
0,513,875,428,7,483,
0,508,860,423,6,480,
0,503,847,420,6,475,
0,527,833,416,6,504,
0,553,819,412,7,499,
0,546,811,408,7,495,
0,540,798,404,7,489,
0,535,786,401,7,483,
0,528,775,398,7,479,
0,523,894,433,7,475,
0,516,883,428,7,470,
0,512,867,425,7,465,
0,507,854,420,7,460,
0,501,843,416,7,477,
0,547,830,412,7,500,
0,541,816,409,9,495,
0,535,804,406,9,489,
0,527,795,401,9,485,
0,522,783,398,9,480,
0,518,823,395,9,475,
0,512,892,433,9,470,
0,505,878,429,9,464,
0,500,864,423,9,461,
0,496,849,421,8,455,
0,492,836,417,8,481,
0,550,825,412,8,476,
0,542,812,408,8,472,
0,537,799,406,9,466,
0,531,788,401,8,461,
0,524,780,398,9,456,
0,519,872,440,8,452,
0,513,893,435,8,448,
0,508,876,431,8,444,
0,504,860,427,8,440,
0,497,850,422,8,436,
0,549,836,417,7,497,
0,555,824,415,8,492,
0,548,811,411,7,486,
0,541,801,407,7,481,
0,535,789,403,7,476,
0,530,777,399,7,472,
0,524,896,428,7,467,
0,519,889,423,7,463,
0,512,872,419,7,457,
0,508,858,415,7,453,
0,503,844,412,7,503,
0,556,834,408,7,508,
0,549,821,403,7,502,
0,543,808,399,7,496,
0,537,796,396,7,491,
0,531,787,392,7,486,
0,525,780,400,7,482,
0,521,899,430,7,476,
0,515,887,425,7,472,
0,509,873,421,7,466,
0,504,860,417,7,463,
0,499,846,414,7,512,
0,550,831,409,7,505,
0,543,822,406,7,499,
0,536,809,401,7,495,
0,530,797,399,7,489,
0,526,785,395,7,484,
0,519,893,441,7,480,
0,513,905,440,7,475,
0,508,911,435,7,471,
0,504,911,431,7,465,
0,498,896,427,7,460,
0,509,880,423,7,504,
0,553,865,418,7,497,
0,547,851,415,7,492,
0,541,838,412,7,486,
0,535,828,408,7,483,
0,528,815,403,7,478,
0,524,896,443,6,472,
0,518,903,438,6,467,
0,512,889,432,6,463,
0,507,873,428,6,459,
0,503,858,425,6,470,
0,563,844,421,6,512,
0,553,834,416,6,507,
0,547,821,412,7,502,
0,542,808,409,7,496,
0,536,796,406,7,491,
0,529,788,402,7,486,
0,524,899,399,7,481,
0,519,902,396,7,476,
0,513,883,393,6,472,
0,508,871,390,6,467,
0,502,857,387,6,519,
0,558,844,384,7,512,
0,552,830,380,7,507,
0,545,817,376,7,500,
0,540,807,374,7,496,
0,532,795,370,7,491,
0,528,881,396,7,486,
0,522,903,439,7,480,
0,516,896,434,7,476,
0,511,877,430,7,472,
0,507,863,426,7,467,
0,500,849,422,6,504,
0,557,838,417,7,500,
0,550,824,414,7,495,
0,545,812,411,7,488,
0,539,799,407,7,483,
0,532,792,403,7,480,
0,526,888,428,7,475,
0,521,888,423,7,470,
0,515,871,419,7,464,
0,510,860,415,7,460,
0,504,846,412,7,455,
0,524,831,408,7,507,
0,552,819,404,7,501,
0,546,809,400,7,496,
0,540,797,396,7,492,
0,535,785,393,7,486,
0,528,775,391,7,481,
0,523,894,432,7,476,
0,516,884,428,7,472,
0,511,869,423,7,467,
0,507,855,420,6,462,
